category,unit,special_abilities,steel,aluminum,damage,armor,range,fuel,notes
Ground,Conquest Truck,APC,45000,5000,,3,,20,Non-attacking; capture bases
Ground,M16 MGMC,Good vs Air Units / 2x range,45000,25000,200,7,5,10,Cheap group AA; escort
Ground,SDKFZ123 Luchs (PzKpfw II),,35000,5000,100,15,8,15,P2; tutorial unit; home base only; group 47
Ground,Willys MB Calliope,2x range engage / Fast,65000,25000,500,7,8,5,Scout/raid jeep; home base only
Ground,BM-13 Katyusha,3x range engage,850000,750000,5000,10,10,25,MLRS; no AA
Ground,M4 Sherman Heavy tank,,450000,200000,1500,150,10,50,All-rounder
Ground,SP6 Sturmtiger Howitzer,Good against Bases,1970000,900000,20000,1875,12,75,No-turret: cannot fire while moving; special ammo
Ground,SDKFZ4 Maultier,2x range engage,375000,250000,950,15,10,30,MLRS; no AA
Ground,Breda 501,Good against Bases,95000,35000,250,30,10,15,Starter base-killer; group 47
Ground,90/53 su Lancia 3Ro,Good against Bases,390000,65000,1000,30,10,25,50/day at 10x price from home base; MP15/grp19/spd1/sight11/9s
Ground,Tetrarch LT Mk VII,Good against Trains,500000,15000,750,75,8,35,
Ground,VK1602 Leopard LT,Good vs Boats / 3x range engage,310000,120000,150,75,6,45,Long sight scout
Ground,M3 Stuart,,95000,55000,250,75,8,35,MP15/grp7/spd1.5/sight9/45s
Ground,T-26,Good against weak Vehicles,590000,90000,250,150,10,50,
Ground,KW2 Klimet Woroszylowa,Good vs big Vehicles / 2x range,1300000,600000,6000,1500,9,80,
Ground,SDKFZ173 Jagdpanther,Good vs Base Attack Units / 2x,1300000,500000,800,300,9,50,Base-defense sniper
Ground,T-34-85,Good vs Vehicles + Boats / 3x,2500000,750000,400,600,8,50,3x range vs boats
Ground,sIG33 Sturmpanzer I Bison,Good against Bases,135000,105000,2500,30,6,40,
Ground,sIG33 Sturmpanzer II Bison,Good against Bases,390000,290000,1750,50,10,45,
Ground,Wespe Howitzer,Good against Bases,150000,35000,1200,75,10,40,
Ground,SDKFZ166 Sturmpanzer IV,Good against Bases,2900000,1900000,2250,300,10,65,
Ground,FP6 Flakpanzer IV Wirbelwind,Good vs Air Units / 2x range,950000,300000,1000,375,8,50,2x range vs air units
Ground,P6 Tiger I (PzKpfw VI) Heavy tank,,1900000,650000,2500,1500,10,75,
Ground,T34 Calliope Heavy tank,2x range engage,950000,250000,1500,150,10,60,MLRS; no AA
Ground,GPF SaintChamond,Good vs Bases / 3x range engage,975000,150000,14000,37,7,50,Siege gun
Ground,A27M Cruiser MkIV Cromwell Heavy tank,Fast,650000,650000,2000,250,9,75,
Ground,IS-3M Stalin Tankograd Heavy tank,,8900000,3900000,5000,3000,10,110,
Ground,P6 Tiger II (PzKpfw VI B) King Heavy,,9500000,5500000,2500,4166,10,100,
Ground,M4A1 Skink,Good vs Aircraft / 2x range,750000,175000,700,150,8,50,Long-range plane shooter
